project_id,state,project_type,total_land_required_hectares,land_acquired_percent,pending_approvals,compensation_pending_percent,legal_cases,affected_families,rr_completed_percent,possession_percent,planned_duration_months,environmental_clearance,forest_clearance,previous_delay_days,delay_days,delay_risk,project_status
LA00027,Andhra Pradesh,Railway,94.1,86.3,0,19.7,4,101,53.2,70.9,68,Approved,Approved,81,69,Low,In Progress
LA00028,Chhattisgarh,Railway,20.6,51.0,0,41.1,3,9,36.5,25.6,36,Approved,Approved,74,257,Medium,Early Stage
LA00029,Bihar,Airport,118.9,72.4,1,27.6,3,127,56.3,47.0,31,Approved,Pending,87,205,Medium,In Progress
LA00030,Andhra Pradesh,Highway,250.9,53.9,1,15.0,3,38,39.5,47.5,55,Approved,Approved,0,173,Medium,Early Stage
LA00031,West Bengal,Highway,102.8,79.6,2,31.5,2,64,49.8,96.6,73,Approved,Approved,75,87,Low,In Progress
LA00032,Uttar Pradesh,Irrigation,41.8,45.0,4,48.2,3,40,30.0,46.4,18,Approved,Approved,57,270,High,Early Stage
LA00033,Gujarat,Highway,38.8,75.0,2,41.0,5,42,50.4,55.6,48,Approved,Approved,0,143,Medium,In Progress
LA00034,Odisha,Metro,41.3,64.3,1,47.2,7,42,41.2,64.3,21,Approved,Approved,98,206,Medium,In Progress
LA00035,Assam,Airport,328.1,56.4,0,46.2,1,122,63.3,50.5,57,Approved,Not Required,52,167,Medium,Early Stage
LA00036,Gujarat,Highway,84.7,55.7,3,46.7,3,66,46.3,51.8,80,Approved,Approved,117,217,Medium,Early Stage
LA00037,Assam,Irrigation,21.6,22.5,6,45.0,0,15,0.0,34.1,36,Approved,Approved,21,290,High,Early Stage
LA00038,Chhattisgarh,Highway,124.8,87.0,3,24.1,3,138,44.5,87.8,45,Pending,Approved,12,171,Medium,In Progress
LA00039,Madhya Pradesh,Irrigation,101.5,64.4,2,17.5,7,49,42.7,54.5,28,Approved,Approved,5,132,Medium,In Progress
LA00040,Kerala,Industrial Corridor,61.5,85.5,3,18.2,1,69,50.5,78.5,12,Not Required,Not Required,44,56,Low,In Progress
LA00041,Tamil Nadu,Highway,37.8,67.0,4,52.5,2,34,46.8,55.9,35,Pending,Pending,102,315,High,In Progress
LA00042,Jharkhand,Highway,36.4,53.5,1,46.7,1,14,69.5,31.9,24,Approved,Not Required,138,263,Medium,Early Stage
LA00043,Haryana,Railway,226.7,42.9,0,49.7,2,152,21.5,34.8,71,Pending,Approved,1,221,Medium,Early Stage
LA00044,Telangana,Railway,111.1,66.2,4,33.0,0,88,34.8,42.2,62,Approved,Not Required,0,178,Medium,In Progress
LA00045,Gujarat,Highway,135.2,90.8,1,19.6,2,74,73.8,59.9,84,Approved,Approved,92,129,Medium,Near Completion
LA00046,Himachal Pradesh,Power Transmission,110.8,72.8,0,31.7,4,70,43.2,62.6,48,Not Required,Not Required,84,186,Medium,In Progress
LA00047,Andhra Pradesh,Highway,118.9,82.5,4,25.5,4,21,33.9,60.4,77,Not Required,Not Required,29,100,Medium,In Progress
LA00048,Assam,Irrigation,60.5,81.0,1,33.2,4,52,56.5,70.3,22,Pending,Not Required,47,172,Medium,In Progress
LA00049,Punjab,Highway,75.6,74.2,0,53.4,1,67,31.8,49.4,78,Not Required,Not Required,108,199,Medium,In Progress
LA00050,Jharkhand,Power Transmission,242.3,38.1,2,66.2,6,290,15.3,45.8,71,Approved,Approved,71,317,High,Early Stage
LA00051,Jharkhand,Highway,299.6,87.6,1,16.4,1,118,71.4,82.2,58,Approved,Approved,18,28,Low,In Progress
LA00052,Tamil Nadu,Railway,31.9,77.0,4,20.1,1,9,36.9,68.2,32,Approved,Approved,24,138,Medium,In Progress
LA00053,Telangana,Metro,75.4,75.4,1,22.1,4,47,71.4,61.3,68,Approved,Approved,11,62,Low,In Progress
LA00054,West Bengal,Highway,183.7,39.3,1,40.7,2,30,26.9,27.8,46,Approved,Not Required,51,237,Medium,Early Stage
LA00055,West Bengal,Irrigation,445.8,86.1,2,1.7,4,232,89.0,65.3,77,Pending,Not Required,0,57,Low,In Progress
LA00056,Maharashtra,Highway,409.4,98.2,1,17.3,1,210,75.0,85.5,29,Approved,Approved,23,0,Low,Near Completion
LA00057,Bihar,Metro,45.8,92.7,0,14.0,3,34,68.1,93.6,62,Approved,Approved,58,0,Low,Near Completion
LA00058,Tamil Nadu,Metro,266.1,75.3,2,28.2,4,187,58.2,49.6,49,Not Required,Pending,54,187,Medium,In Progress
LA00059,Haryana,Airport,94.6,53.0,3,34.8,4,101,48.8,31.7,58,Pending,Not Required,51,300,High,Early Stage
LA00060,Punjab,Highway,218.7,66.6,0,34.0,3,193,71.5,57.0,47,Approved,Approved,84,103,Medium,In Progress
LA00061,Uttarakhand,Highway,175.9,68.6,3,24.3,1,201,36.9,47.2,44,Approved,Pending,101,185,Medium,In Progress
LA00062,Haryana,Highway,30.7,24.1,2,49.0,2,18,19.1,5.9,17,Pending,Pending,0,382,High,Early Stage
LA00063,Telangana,Railway,143.7,64.1,0,58.7,2,137,47.7,64.8,64,Pending,Not Required,0,97,Medium,In Progress
LA00064,Himachal Pradesh,Highway,211.6,79.1,0,11.8,6,151,77.7,53.0,29,Approved,Approved,33,16,Low,In Progress
LA00065,Andhra Pradesh,Power Transmission,88.5,42.8,0,83.9,4,45,36.3,12.0,58,Approved,Approved,96,358,High,Early Stage
LA00066,Rajasthan,Metro,73.0,70.5,5,14.9,2,46,40.5,60.7,34,Approved,Approved,45,176,Medium,In Progress
LA00067,Uttarakhand,Airport,23.7,61.0,1,26.4,3,21,47.5,35.0,41,Pending,Approved,0,137,Medium,In Progress
LA00068,Telangana,Railway,160.9,79.6,1,11.0,4,66,37.7,49.4,65,Pending,Approved,50,106,Medium,In Progress
LA00069,Gujarat,Highway,107.5,47.9,2,38.9,1,80,59.8,33.4,54,Approved,Approved,48,246,Medium,Early Stage
LA00070,West Bengal,Metro,41.1,72.3,3,0.0,0,45,45.5,68.6,30,Approved,Approved,47,61,Low,In Progress
LA00071,Jharkhand,Highway,68.2,76.9,0,39.5,1,14,40.3,72.7,57,Approved,Approved,63,164,Medium,In Progress
LA00072,Tamil Nadu,Railway,102.7,60.9,3,26.6,2,86,58.5,52.6,14,Approved,Not Required,0,101,Medium,In Progress
LA00073,West Bengal,Railway,56.0,44.5,1,49.3,3,44,42.5,10.0,58,Approved,Approved,36,224,Medium,Early Stage
LA00074,Karnataka,Metro,90.2,64.9,2,55.0,2,104,78.5,54.9,53,Not Required,Not Required,101,160,Medium,In Progress
LA00075,Punjab,Power Transmission,20.3,37.9,5,42.9,6,21,32.2,34.0,82,Pending,Approved,16,291,High,Early Stage
LA00076,West Bengal,Highway,283.4,57.9,1,42.8,2,314,52.4,36.0,47,Pending,Approved,54,170,Medium,Early Stage
LA00077,Rajasthan,Metro,91.2,72.7,2,19.0,4,97,62.6,57.8,58,Pending,Pending,94,217,Medium,In Progress
LA00078,Uttar Pradesh,Highway,35.4,73.9,1,39.3,0,10,49.6,54.6,34,Approved,Pending,66,194,Medium,In Progress
LA00079,Odisha,Railway,20.0,67.5,5,37.0,3,10,48.4,40.7,84,Approved,Not Required,24,157,Medium,In Progress
LA00080,Punjab,Industrial Corridor,215.9,60.0,2,21.9,0,237,62.8,37.3,33,Approved,Approved,68,164,Medium,In Progress
LA00081,Uttarakhand,Highway,144.7,56.9,1,55.0,4,80,31.5,38.4,77,Approved,Approved,14,182,Medium,Early Stage
LA00082,Andhra Pradesh,Metro,107.7,28.6,1,53.0,4,100,23.1,16.7,60,Not Required,Pending,75,300,High,Early Stage
LA00083,Tamil Nadu,Railway,187.6,82.0,2,22.9,5,124,29.1,50.4,63,Pending,Not Required,138,191,Medium,In Progress
LA00084,Chhattisgarh,Highway,187.1,60.7,2,44.9,4,90,55.9,53.7,48,Approved,Pending,107,224,Medium,In Progress
LA00085,Kerala,Power Transmission,106.2,90.7,1,32.5,4,52,78.8,75.6,64,Approved,Pending,62,131,Medium,Near Completion
LA00086,Haryana,Railway,72.5,79.9,3,13.6,2,35,83.2,65.7,39,Approved,Approved,0,28,Low,In Progress
LA00087,Gujarat,Irrigation,63.1,73.7,1,40.6,2,16,60.4,63.1,80,Pending,Approved,109,272,High,In Progress
LA00088,Rajasthan,Railway,128.7,45.1,1,45.7,4,111,19.7,24.1,73,Approved,Pending,120,325,High,Early Stage
LA00089,Jharkhand,Power Transmission,295.1,39.3,2,45.4,2,245,32.7,14.8,65,Pending,Approved,41,285,High,Early Stage
LA00090,Chhattisgarh,Highway,82.5,50.5,4,34.4,2,43,79.6,47.2,28,Approved,Approved,63,158,Medium,Early Stage
LA00091,Andhra Pradesh,Railway,315.8,60.6,0,39.4,5,154,25.4,36.1,44,Pending,Pending,69,184,Medium,In Progress
LA00092,Chhattisgarh,Industrial Corridor,123.6,57.6,2,21.4,2,68,45.6,45.0,51,Pending,Not Required,74,241,Medium,Early Stage
LA00093,Chhattisgarh,Railway,124.4,80.9,0,15.5,3,133,36.0,63.5,63,Pending,Approved,71,126,Medium,In Progress
LA00094,Telangana,Railway,695.3,71.7,1,10.4,3,191,74.7,49.7,74,Pending,Pending,85,177,Medium,In Progress
LA00095,Assam,Power Transmission,366.8,85.7,2,32.9,1,302,60.5,59.4,41,Approved,Not Required,29,19,Low,In Progress
LA00096,Madhya Pradesh,Metro,375.0,59.7,0,39.2,4,91,57.3,62.8,15,Approved,Not Required,0,76,Low,Early Stage
LA00097,Uttar Pradesh,Industrial Corridor,45.7,51.8,1,44.3,5,52,16.7,55.8,66,Approved,Approved,23,207,Medium,Early Stage
LA00098,Punjab,Airport,580.2,59.2,4,31.9,2,261,41.2,38.9,19,Pending,Pending,49,232,Medium,Early Stage
LA00099,Kerala,Irrigation,83.9,73.2,0,27.4,3,95,23.3,46.0,64,Pending,Pending,66,229,Medium,In Progress
LA00100,Karnataka,Irrigation,74.2,38.2,0,46.7,1,15,18.1,21.8,34,Approved,Pending,67,269,Medium,Early Stage
LA00101,Chhattisgarh,Metro,20.0,58.2,1,42.0,2,22,52.8,48.2,12,Approved,Approved,31,162,Medium,Early Stage
LA00102,Tamil Nadu,Highway,118.8,54.3,5,21.7,1,19,23.8,48.2,65,Pending,Pending,0,165,Medium,Early Stage
LA00103,Chhattisgarh,Highway,35.8,66.0,2,34.8,2,22,70.1,71.0,75,Approved,Approved,5,96,Medium,In Progress
LA00104,Maharashtra,Airport,127.4,63.5,2,40.5,5,88,36.0,45.1,27,Pending,Approved,7,144,Medium,In Progress
LA00105,Jharkhand,Irrigation,33.5,76.6,4,33.8,5,39,51.0,75.2,68,Pending,Approved,17,186,Medium,In Progress
LA00106,Jharkhand,Railway,414.9,79.1,3,50.5,0,389,43.7,64.0,48,Approved,Approved,0,59,Low,In Progress
LA00107,Jharkhand,Highway,143.9,92.6,3,22.3,6,138,95.7,82.0,56,Pending,Not Required,27,90,Medium,Near Completion
LA00108,Punjab,Highway,625.1,58.9,1,48.1,4,313,13.4,47.5,29,Approved,Not Required,0,188,Medium,Early Stage
LA00109,West Bengal,Metro,37.7,74.5,2,40.5,4,31,60.3,90.9,18,Approved,Approved,45,162,Medium,In Progress
LA00110,Haryana,Irrigation,335.9,51.1,2,33.0,3,190,35.7,41.3,76,Pending,Not Required,1,240,Medium,Early Stage
LA00111,Madhya Pradesh,Highway,20.0,59.7,1,46.7,1,17,69.5,58.8,63,Approved,Approved,0,92,Medium,Early Stage
LA00112,Jharkhand,Airport,107.4,47.8,1,20.7,1,75,29.2,40.4,63,Approved,Pending,99,259,Medium,Early Stage
LA00113,Odisha,Industrial Corridor,52.6,79.3,3,16.6,5,60,56.3,85.3,29,Approved,Approved,71,117,Medium,In Progress
LA00114,West Bengal,Power Transmission,61.5,89.7,2,29.0,2,20,59.4,88.3,43,Approved,Pending,0,84,Low,In Progress
LA00115,Bihar,Highway,58.0,72.6,1,16.6,2,19,55.2,61.7,23,Pending,Not Required,82,186,Medium,In Progress
LA00116,Odisha,Power Transmission,41.4,70.3,0,44.4,3,17,63.2,51.2,84,Pending,Approved,0,96,Medium,In Progress
LA00117,Maharashtra,Airport,30.9,24.1,0,69.3,4,11,16.9,0.0,66,Approved,Approved,61,358,High,Early Stage
LA00118,Karnataka,Industrial Corridor,61.8,81.2,2,30.6,2,32,46.2,62.8,84,Pending,Pending,16,174,Medium,In Progress
LA00119,Uttar Pradesh,Highway,99.3,47.4,0,47.5,6,111,29.4,35.1,55,Approved,Not Required,0,252,Medium,Early Stage
LA00120,Karnataka,Metro,242.0,92.4,0,16.5,4,111,77.3,50.0,60,Approved,Approved,10,0,Low,Near Completion
LA00121,Andhra Pradesh,Airport,115.7,54.3,1,42.5,2,26,51.0,40.2,78,Approved,Approved,64,118,Medium,Early Stage
LA00122,Punjab,Railway,242.6,68.7,1,44.6,2,159,78.7,70.6,38,Approved,Approved,105,141,Medium,In Progress
LA00123,Punjab,Railway,25.6,77.2,1,41.5,4,5,51.5,61.4,13,Pending,Pending,42,172,Medium,In Progress
LA00124,West Bengal,Metro,62.3,81.4,3,26.6,3,25,61.4,80.0,52,Approved,Approved,75,67,Low,In Progress
LA00125,Assam,Metro,164.7,87.2,3,6.1,7,41,70.8,72.4,38,Approved,Pending,2,124,Medium,In Progress
LA00126,Odisha,Highway,120.5,57.1,5,35.3,2,100,53.7,50.9,84,Pending,Approved,95,309,High,Early Stage
LA00127,Gujarat,Railway,43.3,67.9,1,35.9,3,44,60.8,59.7,16,Approved,Pending,122,176,Medium,In Progress
LA00128,Jharkhand,Highway,199.1,59.1,4,47.2,5,75,24.2,45.3,83,Approved,Pending,82,335,High,Early Stage
LA00129,Odisha,Power Transmission,57.3,38.9,0,53.9,2,36,4.2,18.3,63,Not Required,Approved,0,219,Medium,Early Stage
LA00130,Kerala,Power Transmission,46.5,84.7,4,39.0,6,23,69.2,83.5,65,Approved,Not Required,19,100,Medium,In Progress
LA00131,Odisha,Highway,136.2,94.7,4,9.9,4,46,57.2,84.7,59,Approved,Not Required,14,6,Low,Near Completion
LA00132,Odisha,Highway,90.5,86.7,3,14.3,0,17,51.9,72.8,57,Approved,Not Required,115,164,Medium,In Progress
LA00133,Gujarat,Highway,57.7,77.7,3,39.3,2,49,53.4,76.5,71,Pending,Pending,59,213,Medium,In Progress
LA00134,Odisha,Metro,56.1,37.6,1,38.5,2,23,0.9,10.8,12,Pending,Not Required,111,421,High,Early Stage
LA00135,Jharkhand,Irrigation,36.3,40.9,2,35.2,4,15,26.5,37.0,32,Pending,Approved,0,261,Medium,Early Stage
LA00136,Rajasthan,Metro,64.3,72.3,2,31.0,1,69,48.6,59.3,19,Approved,Approved,87,222,Medium,In Progress
LA00137,Kerala,Highway,229.3,86.5,3,31.6,3,131,58.1,88.1,32,Approved,Pending,100,224,Medium,In Progress
LA00138,Maharashtra,Highway,110.8,65.0,1,37.0,7,65,30.2,44.7,52,Pending,Pending,175,373,High,In Progress
LA00139,Rajasthan,Highway,203.3,90.1,3,0.0,6,192,91.9,100.0,52,Approved,Approved,32,10,Low,Near Completion
LA00140,Andhra Pradesh,Irrigation,139.6,38.3,6,47.3,3,142,47.7,20.2,83,Approved,Approved,22,267,Medium,Early Stage
LA00141,Himachal Pradesh,Airport,53.5,51.4,4,32.9,4,44,63.6,33.8,39,Approved,Approved,74,213,Medium,Early Stage
LA00142,Uttar Pradesh,Metro,22.2,75.8,4,42.7,4,5,40.2,66.9,63,Pending,Approved,89,215,Medium,In Progress
LA00143,Madhya Pradesh,Railway,40.9,53.2,3,22.3,4,12,46.5,50.6,36,Approved,Not Required,0,136,Medium,Early Stage
LA00144,Andhra Pradesh,Power Transmission,50.9,42.6,3,53.5,5,39,65.0,20.6,82,Approved,Approved,76,279,High,Early Stage
LA00145,Himachal Pradesh,Railway,47.6,87.0,1,22.4,2,23,68.2,82.3,25,Pending,Pending,16,118,Medium,In Progress
LA00146,Assam,Irrigation,207.2,25.9,1,59.0,5,192,23.8,26.5,24,Approved,Approved,8,210,Medium,Early Stage
LA00147,Maharashtra,Irrigation,205.4,77.3,2,37.1,4,153,56.0,51.9,67,Approved,Not Required,55,117,Medium,In Progress
LA00148,Uttar Pradesh,Metro,590.0,69.4,3,29.4,6,340,51.4,50.8,57,Approved,Not Required,2,141,Medium,In Progress
LA00149,Chhattisgarh,Irrigation,47.0,79.6,3,27.4,2,49,88.0,64.7,66,Not Required,Approved,0,74,Low,In Progress
LA00150,Gujarat,Highway,350.0,93.4,4,39.5,5,232,46.7,64.4,82,Not Required,Not Required,50,145,Medium,Near Completion
LA00151,Assam,Airport,348.1,76.3,2,40.1,3,283,53.8,40.9,24,Pending,Pending,14,160,Medium,In Progress
LA00152,Madhya Pradesh,Highway,73.9,91.3,3,31.0,2,26,81.2,83.6,15,Approved,Not Required,0,17,Low,Near Completion
LA00153,Uttarakhand,Metro,134.6,56.4,2,49.8,3,62,32.9,39.9,61,Approved,Approved,56,217,Medium,Early Stage
LA00154,Madhya Pradesh,Highway,258.4,66.6,1,56.2,0,168,59.6,50.7,53,Not Required,Approved,0,55,Low,In Progress
LA00155,Andhra Pradesh,Highway,85.6,80.7,5,32.6,2,43,64.6,39.3,19,Pending,Approved,32,190,Medium,In Progress
LA00156,Punjab,Highway,80.2,55.8,2,40.8,1,84,58.2,34.6,19,Pending,Approved,52,154,Medium,Early Stage
LA00157,Karnataka,Railway,52.8,77.6,0,35.0,6,20,53.0,62.0,69,Approved,Approved,0,83,Low,In Progress
LA00158,Odisha,Metro,20.0,60.1,2,30.3,0,22,39.1,28.8,27,Approved,Pending,163,268,Medium,In Progress
LA00159,Bihar,Railway,95.6,64.1,2,44.9,3,38,50.7,28.9,82,Pending,Approved,34,251,Medium,In Progress
LA00160,Jharkhand,Railway,49.2,74.5,0,41.4,2,24,55.0,64.7,42,Pending,Pending,52,159,Medium,In Progress
LA00161,Himachal Pradesh,Power Transmission,36.1,92.1,2,15.4,2,32,72.0,85.3,77,Approved,Pending,0,69,Low,Near Completion
LA00162,Punjab,Power Transmission,128.9,54.4,2,38.6,1,51,50.1,47.8,83,Approved,Pending,0,201,Medium,Early Stage
LA00163,Andhra Pradesh,Highway,26.2,80.4,1,30.0,3,17,63.6,52.4,56,Approved,Not Required,83,149,Medium,In Progress
LA00164,Andhra Pradesh,Railway,178.6,54.7,3,32.4,5,80,36.6,36.6,37,Approved,Pending,150,319,High,Early Stage
LA00165,Andhra Pradesh,Airport,135.8,92.6,2,6.7,5,133,53.9,88.5,33,Pending,Not Required,114,166,Medium,Near Completion
LA00166,Chhattisgarh,Industrial Corridor,64.1,74.6,1,26.1,2,14,60.4,45.2,84,Approved,Not Required,42,150,Medium,In Progress
LA00167,Rajasthan,Railway,85.3,91.4,3,20.7,6,21,50.3,82.3,75,Pending,Approved,16,107,Medium,Near Completion
LA00168,Tamil Nadu,Industrial Corridor,32.7,58.9,2,45.6,3,26,52.3,46.7,79,Approved,Not Required,36,133,Medium,Early Stage
LA00169,Rajasthan,Highway,170.3,36.0,1,56.9,8,132,23.3,27.2,67,Approved,Pending,61,334,High,Early Stage
LA00170,Maharashtra,Railway,105.6,55.3,4,39.1,5,64,36.4,38.4,45,Approved,Approved,62,284,High,Early Stage
LA00171,Karnataka,Industrial Corridor,112.5,94.6,1,24.9,1,61,62.9,80.6,12,Approved,Approved,3,83,Low,Near Completion
LA00172,Gujarat,Airport,137.9,71.7,0,24.3,1,145,56.3,49.2,18,Approved,Approved,69,117,Medium,In Progress
LA00173,Jharkhand,Irrigation,52.1,66.4,1,15.4,5,37,46.9,47.9,78,Pending,Not Required,62,175,Medium,In Progress
LA00174,Haryana,Highway,24.7,55.1,2,37.3,1,21,36.1,46.4,21,Pending,Pending,0,191,Medium,Early Stage
LA00175,Punjab,Highway,203.1,83.3,2,27.2,2,209,69.1,76.3,54,Approved,Approved,11,0,Low,In Progress
LA00176,West Bengal,Highway,161.6,47.7,3,36.8,5,143,30.9,39.4,26,Approved,Pending,0,212,Medium,Early Stage
LA00177,Haryana,Highway,57.1,63.0,5,17.8,4,51,52.9,57.9,35,Pending,Not Required,85,220,Medium,In Progress
LA00178,Tamil Nadu,Highway,127.5,74.7,2,18.6,3,34,72.1,59.6,59,Not Required,Not Required,0,102,Medium,In Progress
LA00179,Uttarakhand,Metro,262.2,83.4,3,9.7,2,86,62.8,77.0,59,Approved,Pending,0,81,Low,In Progress
LA00180,Bihar,Metro,237.0,61.0,2,20.1,1,45,46.1,43.1,49,Approved,Approved,0,154,Medium,In Progress
LA00181,Uttarakhand,Airport,55.7,82.6,1,25.3,1,32,31.4,64.2,74,Pending,Pending,0,139,Medium,In Progress
LA00182,Tamil Nadu,Railway,25.4,40.0,2,62.3,0,9,38.5,26.4,67,Approved,Approved,100,269,Medium,Early Stage
LA00183,West Bengal,Highway,29.4,53.7,1,41.0,2,22,13.8,36.6,19,Pending,Pending,29,255,Medium,Early Stage
LA00184,Punjab,Industrial Corridor,69.1,84.8,4,37.5,2,32,68.9,52.1,52,Approved,Pending,0,87,Low,In Progress
LA00185,West Bengal,Highway,312.0,60.6,1,5.4,2,56,39.5,34.4,54,Pending,Not Required,23,162,Medium,In Progress
LA00186,Andhra Pradesh,Irrigation,48.5,86.3,1,24.9,3,54,61.1,64.8,58,Pending,Pending,138,251,Medium,In Progress
LA00187,Tamil Nadu,Highway,54.2,54.1,0,47.0,2,15,24.4,45.6,36,Pending,Not Required,57,188,Medium,Early Stage
LA00188,Telangana,Metro,53.3,72.3,2,21.1,4,53,42.3,45.5,52,Pending,Pending,0,197,Medium,In Progress
LA00189,Uttar Pradesh,Irrigation,57.3,41.9,1,36.4,5,33,0.0,51.6,82,Approved,Approved,84,246,Medium,Early Stage
LA00190,Rajasthan,Metro,89.2,86.1,1,18.4,2,17,81.0,78.5,34,Approved,Pending,121,105,Medium,In Progress
LA00191,Punjab,Airport,30.3,67.5,1,43.6,2,10,48.5,54.7,23,Approved,Not Required,140,176,Medium,In Progress
LA00192,Kerala,Industrial Corridor,226.3,33.5,4,37.5,3,124,18.2,38.4,42,Approved,Not Required,0,251,Medium,Early Stage
LA00193,Kerala,Highway,79.6,64.2,2,24.9,1,66,14.9,40.5,75,Approved,Not Required,0,155,Medium,In Progress
LA00194,Telangana,Industrial Corridor,740.5,47.3,2,28.3,2,356,28.9,26.2,32,Pending,Pending,0,240,Medium,Early Stage
LA00195,Himachal Pradesh,Irrigation,33.2,94.2,2,25.5,2,32,52.3,63.7,55,Approved,Not Required,123,138,Medium,Near Completion
LA00196,Gujarat,Power Transmission,347.7,53.9,2,32.0,3,119,7.1,30.5,37,Pending,Pending,60,328,High,Early Stage
LA00197,Rajasthan,Railway,293.7,31.9,3,51.3,2,349,30.3,4.9,56,Approved,Pending,43,390,High,Early Stage
LA00198,Karnataka,Railway,63.4,85.3,3,28.8,6,57,55.5,77.7,56,Pending,Pending,171,291,High,In Progress
LA00199,Rajasthan,Industrial Corridor,64.3,83.8,0,18.0,2,54,100.0,81.3,12,Approved,Approved,0,0,Low,In Progress
LA00200,Himachal Pradesh,Metro,41.1,63.7,4,17.4,1,12,45.2,68.9,18,Approved,Pending,0,145,Medium,In Progress
LA00201,Telangana,Highway,41.5,60.7,3,42.7,3,26,39.3,30.8,66,Approved,Approved,0,113,Medium,In Progress
LA00202,Uttarakhand,Highway,90.0,73.6,1,36.5,3,62,79.0,53.8,29,Pending,Approved,72,177,Medium,In Progress
LA00203,West Bengal,Highway,91.6,72.7,0,49.3,2,87,48.9,66.3,20,Pending,Not Required,16,106,Medium,In Progress
LA00204,Punjab,Railway,23.1,56.3,0,42.8,1,21,42.8,41.5,48,Approved,Approved,135,264,Medium,Early Stage
LA00205,West Bengal,Highway,632.4,68.7,2,33.1,3,691,70.9,60.0,24,Pending,Not Required,15,142,Medium,In Progress
LA00206,Madhya Pradesh,Highway,72.2,80.4,1,29.1,6,69,62.4,73.2,40,Approved,Approved,53,102,Medium,In Progress
LA00207,Jharkhand,Highway,95.2,29.2,1,51.8,4,69,16.5,14.1,70,Approved,Pending,98,332,High,Early Stage
LA00208,Himachal Pradesh,Power Transmission,52.9,41.3,4,46.9,2,19,50.5,20.4,51,Not Required,Pending,31,257,Medium,Early Stage
